Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
128950-78767,G,Scottie,Scottie Scheffler,Scheffler,114.28571428571429,7,14600,,,,,,,,,G
128950-78766,G,Xander,Xander Schauffele,Schauffele,82.2874984741211,8,12100,,,,,,,,,G
128950-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,93.5374984741211,8,11800,,,,,,,,,G
128950-78084,G,Tommy,Tommy Fleetwood,Fleetwood,86.31667073567708,6,11500,,,,,,,,,G
128950-78206,G,Russell,Russell Henley,Henley,84.26249694824219,8,11400,,,,,,,,,G
128950-107336,G,Cameron,Cameron Young,Young,95.0142822265625,7,11100,,,,,,,,,G
128950-163390,G,Ludvig,Ludvig Aberg,Aberg,85.0250015258789,8,10900,,,,,,,,,G
128950-79435,G,Patrick,Patrick Cantlay,Cantlay,71.98750305175781,8,10800,,,,,,,,,G
128950-78569,G,Collin,Collin Morikawa,Morikawa,77.22856794084821,7,10700,,,,,,,,,G
128950-78833,G,Jordan,Jordan Spieth,Spieth,70.42222086588542,9,10600,,,,,,,,,G
128950-78346,G,Si Woo,Si Woo Kim,Kim,87.39000244140625,10,10500,,,,,,,,,G
128950-77904,G,Sam,Sam Burns,Burns,70.13749694824219,8,10400,,,,,,,,,G
128950-78893,G,Justin,Justin Thomas,Thomas,49.974998474121094,4,10300,,,,,,,,,G
128950-101713,G,Viktor,Viktor Hovland,Hovland,67.02857317243304,7,10200,,,,,,,,,G
128950-79518,G,Jake,Jake Knapp,Knapp,95.2874984741211,8,10100,,,,,,,,,G
128950-78538,G,Maverick,Maverick McNealy,McNealy,78.76666937934027,9,10000,,,,,,,,,G
128950-78467,G,Shane,Shane Lowry,Lowry,73.38571602957589,7,9900,,,,,,,,,G
128950-110893,G,Robert,Robert MacIntyre,MacIntyre,86.51249694824219,8,9900,,,,,,,,,G
128950-77997,G,Jason,Jason Day,Day,72.0374984741211,8,9800,,,,,,,,,G
128950-165988,G,Chris,Chris Gotterup,Gotterup,84,9,9800,,,,,,,,,G
128950-169771,G,Jacob,Jacob Bridgeman,Bridgeman,97.89999728732639,9,9700,,,,,,,,,G
128950-80579,G,Sepp,Sepp Straka,Straka,72.48750305175781,8,9700,,,,,,,,,G
128950-101764,G,Ben,Ben Griffin,Griffin,62.820001220703126,10,9600,,,,,,,,,G
128950-103030,G,Akshay,Akshay Bhatia,Bhatia,83.375,8,9600,,,,,,,,,G
128950-163239,G,Ryo,Ryo Hisatsune,Hisatsune,85.12999877929687,10,9500,,,,,,,,,G
128950-151407,G,Min Woo,Min Woo Lee,Lee,91.48750305175781,8,9500,,,,,,,,,G
128950-78050,G,Harris,Harris English,English,77.94444444444444,9,9400,,,,,,,,,G
128950-78831,G,J.J.,J.J. Spaun,Spaun,53.400000678168404,9,9400,,,,,,,,,G
128950-78093,G,Rickie,Rickie Fowler,Fowler,73.9625015258789,8,9300,,,,,,,,,G
128950-79759,G,Sahith,Sahith Theegala,Theegala,81.70999755859376,10,9300,,,,,,,,,G
128950-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,80.30000305175781,8,9200,,,,,,,,,G
128950-226937,G,Sudarshan,Sudarshan Yellamaraju,Yellamaraju,86.13333468967014,9,9200,,,,,,,,,G
128950-80788,G,Wyndham,Wyndham Clark,Clark,66.47777642144098,9,9100,,,,,,,,,G
128950-78187,G,Brian,Brian Harman,Harman,61.97777642144097,9,9100,,,,,,,,,G
128950-78357,G,Kurt,Kurt Kitayama,Kitayama,68.4888916015625,9,9000,,,,,,,,,G
128950-119289,G,Harry,Harry Hall,Hall,62.95555284288194,9,9000,,,,,,,,,G
128950-77881,G,Keegan,Keegan Bradley,Bradley,56.875,8,8900,,,,,,,,,G
128950-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,66.4888916015625,9,8900,,,,,,,,,G
128950-78599,G,Alex,Alex Noren,Noren,70.9749984741211,8,8800,,,,,,,,,G
128950-78258,G,Sungjae,Sungjae Im,Im,50.939999389648435,5,8800,,,,,,,,,G
128950-77966,G,Corey,Corey Conners,Conners,60.3125,8,8700,,,,,,,,,G
128950-165953,G,Sam,Sam Stevens,Stevens,76.7,10,8700,,,,,,,,,G
128950-77848,G,Daniel,Daniel Berger,Berger,69.32222493489583,9,8600,,,,,,,,,G
128950-170740,G,Ryan,Ryan Gerard,Gerard,79.1,10,8600,,,,,,,,,G
128950-78689,G,J.T.,J.T. Poston,Poston,59.087501525878906,8,8500,,,,,,,,,G
