Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
127081-78767,G,Scottie,Scottie Scheffler,Scheffler,134.8000030517578,4,14800,,,,,,,,,G
127081-78530,G,Rory,Rory McIlroy,McIlroy,125.69999694824219,2,13200,,,,,,,,,G
127081-78084,G,Tommy,Tommy Fleetwood,Fleetwood,118.44999694824219,2,11600,,,,,,,,,G
127081-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,98.2750015258789,4,11400,,,,,,,,,G
127081-78766,G,Xander,Xander Schauffele,Schauffele,79.3499984741211,4,11300,,,,,,,,,G
127081-78569,G,Collin,Collin Morikawa,Morikawa,85.375,4,11100,,,,,,,,,G
127081-78206,G,Russell,Russell Henley,Henley,89.32499694824219,4,11000,,,,,,,,,G
127081-78508,G,Hideki,Hideki Matsuyama,Matsuyama,95.14000244140625,5,10900,,,,,,,,,G
127081-78346,G,Si Woo,Si Woo Kim,Kim,103.25,6,10800,,,,,,,,,G
127081-79435,G,Patrick,Patrick Cantlay,Cantlay,83.44999694824219,4,10700,,,,,,,,,G
127081-110893,G,Robert,Robert MacIntyre,MacIntyre,98.42500305175781,4,10600,,,,,,,,,G
127081-107336,G,Cameron,Cameron Young,Young,82.75,4,10500,,,,,,,,,G
127081-78050,G,Harris,Harris English,English,92.77999877929688,5,10400,,,,,,,,,G
127081-165988,G,Chris,Chris Gotterup,Gotterup,92.74000244140625,5,10300,,,,,,,,,G
127081-77904,G,Sam,Sam Burns,Burns,71.1500015258789,4,10200,,,,,,,,,G
127081-101764,G,Ben,Ben Griffin,Griffin,85.57999877929687,5,10100,,,,,,,,,G
127081-163390,G,Ludvig,Ludvig Aberg,Aberg,70.32499694824219,4,10000,,,,,,,,,G
127081-101713,G,Viktor,Viktor Hovland,Hovland,73.53333536783855,3,9900,,,,,,,,,G
127081-78093,G,Rickie,Rickie Fowler,Fowler,99.07499694824219,4,9800,,,,,,,,,G
127081-79518,G,Jake,Jake Knapp,Knapp,107.7800048828125,5,9700,,,,,,,,,G
127081-78357,G,Kurt,Kurt Kitayama,Kitayama,85.94000244140625,5,9600,,,,,,,,,G
127081-78467,G,Shane,Shane Lowry,Lowry,108.7000020345052,3,9500,,,,,,,,,G
127081-78744,G,Justin,Justin Rose,Rose,82.32499694824219,4,9400,,,,,,,,,G
127081-78538,G,Maverick,Maverick McNealy,McNealy,82.77999877929688,5,9300,,,,,,,,,G
127081-78780,G,Adam,Adam Scott,Scott,95.4749984741211,4,9200,,,,,,,,,G
127081-151407,G,Min Woo,Min Woo Lee,Lee,104.32499694824219,4,9100,,,,,,,,,G
127081-77997,G,Jason,Jason Day,Day,84.82499694824219,4,9000,,,,,,,,,G
127081-78893,G,Justin,Justin Thomas,Thomas,80.17142740885417,21,8900,,,,,,,,,G
127081-78833,G,Jordan,Jordan Spieth,Spieth,72.875,4,8800,,,,,,,,,G
127081-151425,G,Pierceson,Pierceson Coody,Coody,102,6,8700,,,,,,,,,G
127081-77881,G,Keegan,Keegan Bradley,Bradley,58.82500076293945,4,8600,,,,,,,,,G
127081-103030,G,Akshay,Akshay Bhatia,Bhatia,85.4,5,8500,,,,,,,,,G
127081-169771,G,Jacob,Jacob Bridgeman,Bridgeman,115.75999755859375,5,8400,,,,,,,,,G
127081-80579,G,Sepp,Sepp Straka,Straka,83.57499694824219,4,8400,,,,,,,,,G
127081-78599,G,Alex,Alex Noren,Noren,71.5250015258789,4,8300,,,,,,,,,G
127081-78831,G,J.J.,J.J. Spaun,Spaun,55.125,4,8300,,,,,,,,,G
127081-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,107.5,3,8200,,,,,,,,,G
127081-170740,G,Ryan,Ryan Gerard,Gerard,98.18332926432292,6,8200,,,,,,,,,G
127081-179513,G,Nicolas,Nicolas Echavarria,Echavarria,63.416666666666664,6,8100,,,,,,,,,G
127081-119289,G,Harry,Harry Hall,Hall,71.84000244140626,5,8100,,,,,,,,,G
127081-78889,G,Nick,Nick Taylor,Taylor,87,5,8000,,,,,,,,,G
127081-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,67.75999755859375,5,8000,,,,,,,,,G
127081-77966,G,Corey,Corey Conners,Conners,54.54999923706055,4,7900,,,,,,,,,G
127081-165953,G,Sam,Sam Stevens,Stevens,87.03333536783855,6,7900,,,,,,,,,G
127081-80556,G,Max,Max Greyserman,Greyserman,67.64000244140625,5,7800,,,,,,,,,G
127081-78660,G,Taylor,Taylor Pendrith,Pendrith,73.27999877929688,5,7800,,,,,,,,,G
127081-78095,G,Ryan,Ryan Fox,Fox,97.23333740234375,3,7700,,,,,,,,,G
127081-79759,G,Sahith,Sahith Theegala,Theegala,91.75,6,7700,,,,,,,,,G
127081-77848,G,Daniel,Daniel Berger,Berger,73.5499979654948,6,7600,,,,,,,,,G
127081-78689,G,J.T.,J.T. Poston,Poston,74.5250015258789,4,7600,,,,,,,,,G
127081-78520,G,Denny,Denny McCarthy,McCarthy,72.37999877929687,5,7500,,,,,,,,,G
127081-170736,G,Matthew,Matthew McCarty,McCarty,78.33333333333333,6,7500,,,,,,,,,G
127081-78258,G,Sungjae,Sungjae Im,Im,64.58214460100446,28,7400,,,,,,,,,G
127081-78552,G,Keith,Keith Mitchell,Mitchell,83.39999898274739,6,7400,,,,,,,,,G
127081-78355,G,Chris,Chris Kirk,Kirk,44.279998779296875,5,7300,,,,,,,,,G
127081-163239,G,Ryo,Ryo Hisatsune,Hisatsune,90.41666666666667,6,7300,,,,,,,,,G
127081-78739,G,Patrick,Patrick Rodgers,Rodgers,87.7999979654948,6,7200,,,,,,,,,G
127081-78566,G,Taylor,Taylor Moore,Moore,91.43332926432292,3,7200,,,,,,,,,G
127081-171574,G,Aldrich,Aldrich Potgieter,Potgieter,60.679998779296874,5,7100,,,,,,,,,G
127081-80362,G,Austin,Austin Smotherman,Smotherman,69.27999877929688,5,7100,,,,,,,,,G
127081-78344,G,Michael,Michael Kim,Kim,66.2,5,7000,,,,,,,,,G
127081-78187,G,Brian,Brian Harman,Harman,58.5,5,7000,,,,,,,,,G
127081-77925,G,Bud,Bud Cauley,Cauley,66.35999755859375,5,6900,,,,,,,,,G
127081-82360,G,Andrew,Andrew Novak,Novak,71.97999877929688,5,6800,,,,,,,,,G
127081-77984,G,Joel,Joel Dahmen,Dahmen,80,4,6700,,,,,,,,,G
127081-78135,G,Lucas,Lucas Glover,Glover,47.650001525878906,2,6600,,,,,,,,,G
127081-78225,G,Tom,Tom Hoge,Hoge,69.53333536783855,6,6500,,,,,,,,,G
127081-78232,G,Billy,Billy Horschel,Horschel,53.98333231608073,6,6400,,,,,,,,,G
127081-78698,G,Andrew,Andrew Putnam,Putnam,64.96666463216145,3,6300,,,,,,,,,G
127081-241123,G,Daniel,Daniel Bennett,Bennett,,0,6200,,,,,,,,,G
127081-77911,G,Brian,Brian Campbell,Campbell,40.879998779296876,5,6100,,,,,,,,,G
127081-78938,G,Jhonattan,Jhonattan Vegas,Vegas,39.79999923706055,4,6000,,,,,,,,,G
