Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
126535-78767,G,Scottie,Scottie Scheffler,Scheffler,152.8000030517578,2,15600,,,,,,,,,G
126535-78530,G,Rory,Rory McIlroy,McIlroy,90.52000325520834,15,12300,,,,,,,,,G
126535-78744,G,Justin,Justin Rose,Rose,111.19999694824219,2,12000,,,,,,,,,G
126535-101713,G,Viktor,Viktor Hovland,Hovland,90,1,11700,,,,,,,,,G
126535-78084,G,Tommy,Tommy Fleetwood,Fleetwood,81.86842105263158,19,11600,,,,,,,,,G
126535-78346,G,Si Woo,Si Woo Kim,Kim,118.125,4,11400,,,,,,,,,G
126535-78206,G,Russell,Russell Henley,Henley,111.55000305175781,2,11300,,,,,,,,,G
126535-78538,G,Maverick,Maverick McNealy,McNealy,93.36666870117188,3,11200,,,,,,,,,G
126535-165988,G,Chris,Chris Gotterup,Gotterup,116.40000406901042,3,10900,,,,,,,,,G
126535-78508,G,Hideki,Hideki Matsuyama,Matsuyama,97.23333740234375,3,10800,,,,,,,,,G
126535-78766,G,Xander,Xander Schauffele,Schauffele,55.45000076293945,2,10700,,,,,,,,,G
126535-77997,G,Jason,Jason Day,Day,112.25,2,10600,,,,,,,,,G
126535-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,100.9000015258789,2,10500,,,,,,,,,G
126535-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,92.40000406901042,3,10400,,,,,,,,,G
126535-107336,G,Cameron,Cameron Young,Young,76.30000305175781,2,10300,,,,,,,,,G
126535-79435,G,Patrick,Patrick Cantlay,Cantlay,75.25,2,10200,,,,,,,,,G
126535-163390,G,Ludvig,Ludvig Aberg,Aberg,38.95000076293945,2,10100,,,,,,,,,G
126535-110893,G,Robert,Robert MacIntyre,MacIntyre,108.25,2,10000,,,,,,,,,G
126535-101764,G,Ben,Ben Griffin,Griffin,88.23333740234375,3,9900,,,,,,,,,G
126535-79518,G,Jake,Jake Knapp,Knapp,101.63333129882812,3,9800,,,,,,,,,G
126535-77848,G,Daniel,Daniel Berger,Berger,97.09999593098958,3,9700,,,,,,,,,G
126535-78467,G,Shane,Shane Lowry,Lowry,65.38421309621711,19,9600,,,,,,,,,G
