Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
127952-78767,G,Scottie,Scottie Scheffler,Scheffler,115.15000406901042,6,15200,,,,O,Personal,,,,G
127952-165988,G,Chris,Chris Gotterup,Gotterup,83.77143205915179,7,11800,,,,,,,,,G
127952-151407,G,Min Woo,Min Woo Lee,Lee,100.09999593098958,6,11600,,,,,,,,,G
127952-79518,G,Jake,Jake Knapp,Knapp,93,6,11400,,,,,,,,,G
127952-78367,G,Brooks,Brooks Koepka,Koepka,67.67999877929688,5,11300,,,,,,,,,G
127952-77904,G,Sam,Sam Burns,Burns,64.53333536783855,6,11100,,,,,,,,,G
127952-78093,G,Rickie,Rickie Fowler,Fowler,89.38333129882812,6,10900,,,,,,,,,G
127952-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,82.85000101725261,6,10800,,,,,,,,,G
127952-171875,G,Marco,Marco Penge,Penge,51.46666463216146,6,10700,,,,,,,,,G
127952-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,69.10000174386161,7,10600,,,,,,,,,G
127952-78357,G,Kurt,Kurt Kitayama,Kitayama,71.58571515764508,7,10500,,,,,,,,,G
127952-119289,G,Harry,Harry Hall,Hall,67.92857142857143,7,10400,,,,,,,,,G
127952-78780,G,Adam,Adam Scott,Scott,86.16666666666667,6,10300,,,,,,,,,G
127952-78050,G,Harris,Harris English,English,80.05714634486607,7,10200,,,,,,,,,G
127952-101764,G,Ben,Ben Griffin,Griffin,62.01250076293945,8,10100,,,,,,,,,G
127952-78467,G,Shane,Shane Lowry,Lowry,73.9,5,10000,,,,,,,,,G
127952-78552,G,Keith,Keith Mitchell,Mitchell,77.8375015258789,8,9900,,,,,,,,,G
127952-170740,G,Ryan,Ryan Gerard,Gerard,86.57499694824219,8,9900,,,,,,,,,G
127952-80788,G,Wyndham,Wyndham Clark,Clark,71.24285888671875,7,9800,,,,,,,,,G
127952-77997,G,Jason,Jason Day,Day,66.7000020345052,6,9800,,,,,,,,,G
127952-165953,G,Sam,Sam Stevens,Stevens,74.01249694824219,8,9700,,,,,,,,,G
127952-151427,G,Rasmus,Rasmus Hojgaard,Hojgaard,64.22857230050224,7,9700,,,,,,,,,G
127952-78660,G,Taylor,Taylor Pendrith,Pendrith,62.712501525878906,8,9600,,,,,,,,,G
127952-151425,G,Pierceson,Pierceson Coody,Coody,77.31110975477431,9,9600,,,,,,,,,G
127952-78258,G,Sungjae,Sungjae Im,Im,48.20000203450521,3,9500,,,,,,,,,G
127952-78268,G,Stephan,Stephan Jaeger,Jaeger,71.38571602957589,7,9500,,,,,,,,,G
127952-79018,G,Will,Will Zalatoris,Zalatoris,72.5,2,9400,,,,,,,,,G
127952-80560,G,Alex,Alex Smalley,Smalley,72.0250015258789,8,9400,,,,,,,,,G
127952-78709,G,Aaron,Aaron Rai,Rai,52.48333231608073,6,9300,,,,,,,,,G
127952-79759,G,Sahith,Sahith Theegala,Theegala,81.53333197699652,9,9300,,,,,,,,,G
127952-151379,G,Ricky,Ricky Castillo,Castillo,87.52857317243304,7,9200,,,,,,,,,G
127952-80556,G,Max,Max Greyserman,Greyserman,62.48571341378348,7,9200,,,,,,,,,G
127952-78095,G,Ryan,Ryan Fox,Fox,88.42500305175781,4,9100,,,,,,,,,G
127952-78739,G,Patrick,Patrick Rodgers,Rodgers,81.08888753255208,9,9100,,,,,,,,,G
127952-118173,G,Davis,Davis Thompson,Thompson,61.07142857142857,7,9000,,,,,,,,,G
127952-84467,G,Kristoffer,Kristoffer Reitan,Reitan,52.76666768391927,6,9000,,,,,,,,,G
127952-78078,G,Tony,Tony Finau,Finau,62.462501525878906,8,9000,,,,,,,,,G
127952-179513,G,Nicolas,Nicolas Echavarria,Echavarria,61.5,8,8900,,,,,,,,,G
127952-78998,G,Gary,Gary Woodland,Woodland,47.15714372907366,7,8900,,,,,,,,,G
127952-78817,G,Jordan L.,Jordan L. Smith,Smith,68.35714285714286,7,8900,,,,,,,,,G
127952-201276,G,Rasmus,Rasmus Neergaard-Petersen,Neergaard-Petersen,66.7,5,8800,,,,,,,,,G
127952-151397,G,Mac,Mac Meissner,Meissner,54.699999128069194,7,8800,,,,,,,,,G
127952-226937,G,Sudarshan,Sudarshan Yellamaraju,Yellamaraju,81.12857491629464,7,8800,,,,,,,,,G
127952-82444,G,Doug,Doug Ghim,Ghim,61.75,6,8700,,,,,,,,,G
127952-82217,G,Rico,Rico Hoey,Hoey,49.877777099609375,9,8700,,,,,,,,,G
127952-78689,G,J.T.,J.T. Poston,Poston,60.666666666666664,6,8700,,,,,,,,,G
127952-170736,G,Matthew,Matthew McCarty,McCarty,61.45555284288194,9,8700,,,,O,Undisclosed,,,,G
127952-165892,G,Michael,Michael Brennan,Brennan,54.162498474121094,8,8600,,,,,,,,,G
127952-78617,G,Thorbjorn,Thorbjorn Olesen,Olesen,33.97999877929688,5,8600,,,,,,,,,G
127952-171574,G,Aldrich,Aldrich Potgieter,Potgieter,46.15714372907366,7,8600,,,,,,,,,G
127952-78692,G,Seamus,Seamus Power,Power,66.17143031529018,7,8600,,,,,,,,,G
127952-78439,G,Hao-Tong,Hao-Tong Li,Li,59.75714111328125,7,8600,,,,,,,,,G
127952-110906,G,Matti,Matti Schmid,Schmid,61.4,10,8500,,,,,,,,,G
127952-77925,G,Bud,Bud Cauley,Cauley,60.8125,8,8500,,,,O,Undisclosed,,,,G
127952-180875,G,Chandler,Chandler Blanchet,Blanchet,48.98571341378348,7,8500,,,,,,,,,G
127952-78520,G,Denny,Denny McCarthy,McCarthy,57.5625,8,8500,,,,,,,,,G
