Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
128402-78767,G,Scottie,Scottie Scheffler,Scheffler,115.15000406901042,6,13800,,,,,,,,,G
128402-78530,G,Rory,Rory McIlroy,McIlroy,87.05000305175781,4,12500,,,,,,,,,G
128402-78005,G,Bryson,Bryson DeChambeau,DeChambeau,74.44999694824219,4,12100,,,,,,,,,G
128402-78707,G,Jon,Jon Rahm,Rahm,66.625,4,11900,,,,,,,,,G
128402-163390,G,Ludvig,Ludvig Aberg,Aberg,86.15713936941964,7,11600,,,,,,,,,G
128402-78766,G,Xander,Xander Schauffele,Schauffele,81.5142822265625,7,11300,,,,,,,,,G
128402-78084,G,Tommy,Tommy Fleetwood,Fleetwood,91.02000122070312,5,11100,,,,,,,,,G
128402-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,97,7,10900,,,,,,,,,G
128402-107336,G,Cameron,Cameron Young,Young,93.73333740234375,6,10800,,,,,,,,,G
128402-78569,G,Collin,Collin Morikawa,Morikawa,73.14999898274739,6,10700,,,,GTD,Undisclosed,,,,G
128402-78508,G,Hideki,Hideki Matsuyama,Matsuyama,85.30000305175781,8,10600,,,,,,,,,G
128402-78744,G,Justin,Justin Rose,Rose,70.2999979654948,6,10500,,,,,,,,,G
128402-151407,G,Min Woo,Min Woo Lee,Lee,104.17143031529018,7,10400,,,,,,,,,G
128402-110893,G,Robert,Robert MacIntyre,MacIntyre,95.94285365513393,7,10300,,,,,,,,,G
128402-78833,G,Jordan,Jordan Spieth,Spieth,70.4625015258789,8,10200,,,,,,,,,G
128402-78722,G,Patrick,Patrick Reed,Reed,44.849998474121094,4,10100,,,,,,,,,G
128402-101713,G,Viktor,Viktor Hovland,Hovland,65.78333536783855,6,10000,,,,,,,,,G
128402-78467,G,Shane,Shane Lowry,Lowry,73.06666564941406,6,9900,,,,,,,,,G
128402-78367,G,Brooks,Brooks Koepka,Koepka,60.6000010172526,6,9900,,,,,,,,,G
128402-78893,G,Justin,Justin Thomas,Thomas,51,3,9800,,,,,,,,,G
128402-165988,G,Chris,Chris Gotterup,Gotterup,85.9375,8,9800,,,,,,,,,G
128402-78346,G,Si Woo,Si Woo Kim,Kim,91.74444580078125,9,9700,,,,,,,,,G
128402-78206,G,Russell,Russell Henley,Henley,79.71428571428571,7,9700,,,,,,,,,G
128402-79435,G,Patrick,Patrick Cantlay,Cantlay,70.55714198521206,7,9600,,,,,,,,,G
128402-103030,G,Akshay,Akshay Bhatia,Bhatia,92.08571079799107,7,9600,,,,,,,,,G
128402-80579,G,Sepp,Sepp Straka,Straka,75.61428397042411,7,9500,,,,,,,,,G
128402-78193,G,Tyrrell,Tyrrell Hatton,Hatton,62.95000076293945,4,9500,,,,,,,,,G
128402-77997,G,Jason,Jason Day,Day,72.38571602957589,7,9400,,,,,,,,,G
128402-78780,G,Adam,Adam Scott,Scott,85.22856794084821,7,9400,,,,,,,,,G
128402-77966,G,Corey,Corey Conners,Conners,61.442858014787944,7,9300,,,,,,,,,G
128402-77904,G,Sam,Sam Burns,Burns,67.08571515764508,7,9300,,,,,,,,,G
128402-169771,G,Jacob,Jacob Bridgeman,Bridgeman,103.5250015258789,8,9200,,,,,,,,,G
128402-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,89.17143031529018,7,9200,,,,,,,,,G
128402-78998,G,Gary,Gary Woodland,Woodland,59.125,8,9100,,,,,,,,,G
128402-79518,G,Jake,Jake Knapp,Knapp,95.57142857142857,7,9100,,,,,,,,,G
128402-78258,G,Sungjae,Sungjae Im,Im,49.57500076293945,4,9000,,,,,,,,,G
128402-78815,G,Cameron,Cameron Smith,Smith,13.850000381469727,4,9000,,,,,,,,,G
128402-78831,G,J.J.,J.J. Spaun,Spaun,58.17499923706055,8,9000,,,,,,,,,G
128402-171875,G,Marco,Marco Penge,Penge,53.38750076293945,8,8900,,,,,,,,,G
128402-78050,G,Harris,Harris English,English,79.1875,8,8900,,,,,,,,,G
128402-77848,G,Daniel,Daniel Berger,Berger,76.98750305175781,8,8800,,,,,,,,,G
128402-78538,G,Maverick,Maverick McNealy,McNealy,79.4625015258789,8,8800,,,,,,,,,G
128402-101764,G,Ben,Ben Griffin,Griffin,63.4888916015625,9,8700,,,,,,,,,G
128402-78187,G,Brian,Brian Harman,Harman,61.087501525878906,8,8700,,,,,,,,,G
128402-78228,G,Max,Max Homa,Homa,58.95000076293945,8,8600,,,,,,,,,G
128402-78709,G,Aaron,Aaron Rai,Rai,52.48333231608073,6,8600,,,,,,,,,G
128402-78439,G,Hao-Tong,Hao-Tong Li,Li,54,9,8500,,,,,,,,,G
128402-170740,G,Ryan,Ryan Gerard,Gerard,80.33333333333333,9,8500,,,,,,,,,G
128402-202497,G,Casey,Casey Jarvis,Jarvis,20.100000381469727,2,8400,,,,,,,,,G
128402-78599,G,Alex,Alex Noren,Noren,71.01428658621651,7,8400,,,,,,,,,G
128402-78095,G,Ryan,Ryan Fox,Fox,74.72000122070312,5,8300,,,,,,,,,G
128402-77881,G,Keegan,Keegan Bradley,Bradley,53.98571341378348,7,8300,,,,,,,,,G
128402-80788,G,Wyndham,Wyndham Clark,Clark,66.2750015258789,8,8200,,,,,,,,,G
128402-78289,G,Dustin,Dustin Johnson,Johnson,26.274999618530273,4,8200,,,,,,,,,G
128402-151427,G,Rasmus,Rasmus Hojgaard,Hojgaard,65.4625015258789,8,8100,,,,,,,,,G
128402-78357,G,Kurt,Kurt Kitayama,Kitayama,71.3125,8,8100,,,,,,,,,G
128402-78889,G,Nick,Nick Taylor,Taylor,70.60000271267361,9,8000,,,,,,,,,G
128402-80556,G,Max,Max Greyserman,Greyserman,56.525001525878906,8,8000,,,,,,,,,G
