Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
129608-78767,G,Scottie,Scottie Scheffler,Scheffler,115.88749694824219,8,13900,,,,,,,,,G
129608-107336,G,Cameron,Cameron Young,Young,93.0374984741211,8,11800,,,,,,,,,G
129608-78569,G,Collin,Collin Morikawa,Morikawa,80.9000015258789,8,11600,,,,,,,,,G
129608-78206,G,Russell,Russell Henley,Henley,83.60000271267361,9,11500,,,,,,,,,G
129608-78084,G,Tommy,Tommy Fleetwood,Fleetwood,84.45714460100446,7,11400,,,,,,,,,G
129608-77904,G,Sam,Sam Burns,Burns,72.84444173177083,9,11300,,,,,,,,,G
129608-165988,G,Chris,Chris Gotterup,Gotterup,83.94000244140625,10,11100,,,,,,,,,G
129608-79435,G,Patrick,Patrick Cantlay,Cantlay,74.88888888888889,9,11000,,,,O,Illness,,,,G
129608-78346,G,Si Woo,Si Woo Kim,Kim,89.83636474609375,11,10900,,,,,,,,,G
129608-78780,G,Adam,Adam Scott,Scott,82.11250305175781,8,10800,,,,,,,,,G
129608-78508,G,Hideki,Hideki Matsuyama,Matsuyama,85.54444715711806,9,10700,,,,,,,,,G
129608-78744,G,Justin,Justin Rose,Rose,76,7,10600,,,,,,,,,G
129608-78538,G,Maverick,Maverick McNealy,McNealy,79.60999755859375,10,10500,,,,,,,,,G
129608-78050,G,Harris,Harris English,English,80.85,10,10400,,,,,,,,,G
129608-79518,G,Jake,Jake Knapp,Knapp,91.47777642144098,9,10300,,,,,,,,,G
129608-151407,G,Min Woo,Min Woo Lee,Lee,88.27777777777777,9,10200,,,,,,,,,G
129608-101713,G,Viktor,Viktor Hovland,Hovland,69.05000305175781,8,10100,,,,,,,,,G
129608-78833,G,Jordan,Jordan Spieth,Spieth,71.72000122070312,10,10000,,,,,,,,,G
129608-78093,G,Rickie,Rickie Fowler,Fowler,75.33333333333333,9,9900,,,,,,,,,G
129608-103030,G,Akshay,Akshay Bhatia,Bhatia,84.12221950954861,9,9800,,,,,,,,,G
129608-101764,G,Ben,Ben Griffin,Griffin,64.53636585582386,11,9700,,,,,,,,,G
129608-169771,G,Jacob,Jacob Bridgeman,Bridgeman,96.42000122070313,10,9600,,,,,,,,,G
129608-78357,G,Kurt,Kurt Kitayama,Kitayama,72.07999877929687,10,9500,,,,,,,,,G
129608-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,78.75555419921875,9,9400,,,,,,,,,G
129608-77997,G,Jason,Jason Day,Day,72.03333197699652,9,9300,,,,,,,,,G
129608-78831,G,J.J.,J.J. Spaun,Spaun,56.779998779296875,10,9200,,,,,,,,,G
129608-78893,G,Justin,Justin Thomas,Thomas,52.620001220703124,5,9100,,,,,,,,,G
129608-77881,G,Keegan,Keegan Bradley,Bradley,60.666666666666664,9,9000,,,,,,,,,G
129608-80579,G,Sepp,Sepp Straka,Straka,73.16666666666667,9,8900,,,,,,,,,G
129608-78998,G,Gary,Gary Woodland,Woodland,62.74000244140625,10,8800,,,,,,,,,G
129608-78467,G,Shane,Shane Lowry,Lowry,72.4000015258789,8,8700,,,,,,,,,G
129608-119289,G,Harry,Harry Hall,Hall,63.34000244140625,10,8600,,,,,,,,,G
129608-78599,G,Alex,Alex Noren,Noren,70.84444173177083,9,8500,,,,,,,,,G
129608-77966,G,Corey,Corey Conners,Conners,61.9888916015625,9,8400,,,,,,,,,G
129608-79759,G,Sahith,Sahith Theegala,Theegala,82.50908868963069,11,8300,,,,,,,,,G
129608-78552,G,Keith,Keith Mitchell,Mitchell,74.89000244140625,10,8300,,,,,,,,,G
129608-80560,G,Alex,Alex Smalley,Smalley,75.57000122070312,10,8200,,,,,,,,,G
129608-165953,G,Sam,Sam Stevens,Stevens,77.31818181818181,11,8200,,,,,,,,,G
129608-77848,G,Daniel,Daniel Berger,Berger,69.55,10,8000,,,,,,,,,G
129608-77925,G,Bud,Bud Cauley,Cauley,66.29000244140624,10,8000,,,,,,,,,G
129608-78817,G,Jordan L.,Jordan L. Smith,Smith,65.7,10,7900,,,,,,,,,G
129608-170736,G,Matthew,Matthew McCarty,McCarty,64.55833435058594,12,7900,,,,,,,,,G
129608-151425,G,Pierceson,Pierceson Coody,Coody,72.77272727272727,11,7800,,,,,,,,,G
129608-78889,G,Nick,Nick Taylor,Taylor,69.07272616299716,11,7800,,,,,,,,,G
129608-78095,G,Ryan,Ryan Fox,Fox,66.8000008719308,7,7700,,,,,,,,,G
129608-151379,G,Ricky,Ricky Castillo,Castillo,81.85555691189236,9,7700,,,,,,,,,G
129608-170740,G,Ryan,Ryan Gerard,Gerard,78.87272505326705,11,7700,,,,,,,,,G
129608-163239,G,Ryo,Ryo Hisatsune,Hisatsune,83.97272838245739,11,7600,,,,,,,,,G
129608-78258,G,Sungjae,Sungjae Im,Im,54.3999989827474,6,7600,,,,,,,,,G
129608-226937,G,Sudarshan,Sudarshan Yellamaraju,Yellamaraju,85.09000244140626,10,7600,,,,,,,,,G
129608-166816,G,Alex,Alex Fitzpatrick,Fitzpatrick,30.850000381469727,2,7500,,,,,,,,,G
129608-78660,G,Taylor,Taylor Pendrith,Pendrith,57.00999755859375,10,7500,,,,,,,,,G
129608-78187,G,Brian,Brian Harman,Harman,64.45,10,7500,,,,,,,,,G
129608-78520,G,Denny,Denny McCarthy,McCarthy,58.66363525390625,11,7400,,,,,,,,,G
129608-82360,G,Andrew,Andrew Novak,Novak,60.52727161754262,11,7400,,,,,,,,,G
129608-78951,G,Matt,Matt Wallace,Wallace,62.099998474121094,8,7400,,,,,,,,,G
129608-78344,G,Michael,Michael Kim,Kim,63.28181596235795,11,7300,,,,,,,,,G
129608-78228,G,Max,Max Homa,Homa,60.75,10,7300,,,,,,,,,G
129608-78689,G,J.T.,J.T. Poston,Poston,59.577779134114586,9,7300,,,,,,,,,G
129608-80556,G,Max,Max Greyserman,Greyserman,50.53333197699653,9,7200,,,,,,,,,G
129608-171574,G,Aldrich,Aldrich Potgieter,Potgieter,48.820001220703126,10,7200,,,,,,,,,G
129608-80362,G,Austin,Austin Smotherman,Smotherman,59.24000244140625,10,7200,,,,,,,,,G
129608-78739,G,Patrick,Patrick Rodgers,Rodgers,70.44166564941406,12,7100,,,,,,,,,G
129608-77984,G,Joel,Joel Dahmen,Dahmen,51.849998474121094,8,7100,,,,,,,,,G
129608-78698,G,Andrew,Andrew Putnam,Putnam,65.73333062065973,9,7100,,,,,,,,,G
129608-180875,G,Chandler,Chandler Blanchet,Blanchet,46.48999938964844,10,7000,,,,,,,,,G
129608-78225,G,Tom,Tom Hoge,Hoge,53.81818181818182,11,7000,,,,,,,,,G
129608-78135,G,Lucas,Lucas Glover,Glover,37.11249923706055,8,7000,,,,,,,,,G
129608-179513,G,Nicolas,Nicolas Echavarria,Echavarria,52.78181596235795,11,7000,,,,,,,,,G
129608-77911,G,Brian,Brian Campbell,Campbell,34.40909090909091,11,7000,,,,,,,,,G
129608-78938,G,Jhonattan,Jhonattan Vegas,Vegas,46.76666598849826,9,7000,,,,,,,,,G
129608-78450,G,David,David Lipsky,Lipsky,68.52857317243304,7,7000,,,,,,,,,G
