Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
129922-78530,G,Rory,Rory McIlroy,McIlroy,95.42000122070313,5,12800,,,,,,,,,G
129922-107336,G,Cameron,Cameron Young,Young,98.38888888888889,9,12500,,,,,,,,,G
129922-78766,G,Xander,Xander Schauffele,Schauffele,82,9,12100,,,,,,,,,G
129922-78083,G,Matt,Matt Fitzpatrick,Fitzpatrick,98.88888888888889,9,11900,,,,,,,,,G
129922-163390,G,Ludvig,Ludvig Aberg,Aberg,87.67777506510417,9,11600,,,,,,,,,G
129922-78346,G,Si Woo,Si Woo Kim,Kim,91.0499979654948,12,11100,,,,,,,,,G
129922-78084,G,Tommy,Tommy Fleetwood,Fleetwood,83.5999984741211,8,10900,,,,,,,,,G
129922-110893,G,Robert,Robert MacIntyre,MacIntyre,85.74444580078125,9,10700,,,,,,,,,G
129922-79435,G,Patrick,Patrick Cantlay,Cantlay,74.88888888888889,9,10600,,,,,,,,,G
129922-77904,G,Sam,Sam Burns,Burns,73.34000244140626,10,10500,,,,,,,,,G
129922-78780,G,Adam,Adam Scott,Scott,85.28888617621527,9,10400,,,,,,,,,G
129922-101764,G,Ben,Ben Griffin,Griffin,67.91666666666667,12,10300,,,,,,,,,G
129922-101713,G,Viktor,Viktor Hovland,Hovland,68.91111246744792,9,10200,,,,,,,,,G
129922-78093,G,Rickie,Rickie Fowler,Fowler,76.84000244140626,10,10100,,,,,,,,,G
129922-78508,G,Hideki,Hideki Matsuyama,Matsuyama,83.22000122070312,10,10000,,,,,,,,,G
129922-80579,G,Sepp,Sepp Straka,Straka,75.85999755859375,10,9900,,,,,,,,,G
129922-78538,G,Maverick,Maverick McNealy,McNealy,79.96363414417614,11,9800,,,,,,,,,G
129922-165988,G,Chris,Chris Gotterup,Gotterup,82.34545343572444,11,9700,,,,,,,,,G
129922-151407,G,Min Woo,Min Woo Lee,Lee,87.02000122070312,10,9600,,,,,,,,,G
129922-78833,G,Jordan,Jordan Spieth,Spieth,72.2636385830966,11,9500,,,,,,,,,G
129922-79518,G,Jake,Jake Knapp,Knapp,91.47777642144098,9,9400,,,,O,Thumb,,,,G
129922-77997,G,Jason,Jason Day,Day,72.75999755859375,10,9300,,,,,,,,,G
129922-78831,G,J.J.,J.J. Spaun,Spaun,59.33636474609375,11,9200,,,,,,,,,G
129922-78050,G,Harris,Harris English,English,79.60909201882102,11,9100,,,,,,,,,G
129922-78744,G,Justin,Justin Rose,Rose,73.07499694824219,8,9000,,,,,,,,,G
129922-78893,G,Justin,Justin Thomas,Thomas,57.3999989827474,6,9000,,,,,,,,,G
129922-84820,G,Nicolai,Nicolai Hojgaard,Hojgaard,78.82000122070312,10,8900,,,,,,,,,G
129922-78357,G,Kurt,Kurt Kitayama,Kitayama,73.81818181818181,11,8800,,,,,,,,,G
129922-103030,G,Akshay,Akshay Bhatia,Bhatia,84.27999877929688,10,8700,,,,,,,,,G
129922-78998,G,Gary,Gary Woodland,Woodland,63.87272505326705,11,8600,,,,,,,,,G
129922-78599,G,Alex,Alex Noren,Noren,72.92999877929688,10,8500,,,,,,,,,G
129922-169771,G,Jacob,Jacob Bridgeman,Bridgeman,92.7636385830966,11,8500,,,,,,,,,G
129922-79759,G,Sahith,Sahith Theegala,Theegala,82.16666666666667,12,8400,,,,,,,,,G
129922-77881,G,Keegan,Keegan Bradley,Bradley,60.7,10,8400,,,,,,,,,G
129922-80560,G,Alex,Alex Smalley,Smalley,77.52727161754261,11,8300,,,,,,,,,G
129922-170740,G,Ryan,Ryan Gerard,Gerard,79.15833536783855,12,8300,,,,,,,,,G
