Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
128272-78084,G,Tommy,Tommy Fleetwood,Fleetwood,92.4000015258789,4,12100,,,,,,,,,G
128272-163390,G,Ludvig,Ludvig Aberg,Aberg,81.01666768391927,6,11900,,,,,,,,,G
128272-78206,G,Russell,Russell Henley,Henley,88.78333536783855,6,11800,,,,,,,,,G
128272-78833,G,Jordan,Jordan Spieth,Spieth,73.91428920200893,7,11600,,,,,,,,,G
128272-78569,G,Collin,Collin Morikawa,Morikawa,73.14999898274739,6,11400,,,,O,Back,,,,G
128272-110893,G,Robert,Robert MacIntyre,MacIntyre,91.59999593098958,6,11300,,,,,,,,,G
128272-78508,G,Hideki,Hideki Matsuyama,Matsuyama,86.21428571428571,7,11100,,,,,,,,,G
128272-78346,G,Si Woo,Si Woo Kim,Kim,92.8375015258789,8,10900,,,,,,,,,G
128272-78538,G,Maverick,Maverick McNealy,McNealy,78.38571602957589,7,10800,,,,,,,,,G
128272-80579,G,Sepp,Sepp Straka,Straka,83.78333536783855,6,10700,,,,,,,,,G
128272-107238,G,Michael,Michael Thorbjornsen,Thorbjornsen,71.57499694824219,8,10600,,,,,,,,,G
128272-78093,G,Rickie,Rickie Fowler,Fowler,80.44285365513393,7,10500,,,,,,,,,G
128272-78831,G,J.J.,J.J. Spaun,Spaun,45.92857142857143,7,10400,,,,,,,,,G
128272-78552,G,Keith,Keith Mitchell,Mitchell,79.67777506510417,9,10300,,,,,,,,,G
128272-78599,G,Alex,Alex Noren,Noren,69.71666463216145,6,10200,,,,,,,,,G
128272-77848,G,Daniel,Daniel Berger,Berger,76.98750305175781,8,10100,,,,O,Not injury related,,,,G
128272-226937,G,Sudarshan,Sudarshan Yellamaraju,Yellamaraju,84.9000015258789,8,10000,,,,,,,,,G
128272-211781,G,John,John Keefer,Keefer,58.67499923706055,8,9900,,,,,,,,,G
128272-78998,G,Gary,Gary Woodland,Woodland,59.125,8,9900,,,,O,Not injury related,,,,G
128272-163239,G,Ryo,Ryo Hisatsune,Hisatsune,82.57777913411458,9,9800,,,,,,,,,G
128272-78520,G,Denny,Denny McCarthy,McCarthy,61.30000135633681,9,9800,,,,,,,,,G
128272-78617,G,Thorbjorn,Thorbjorn Olesen,Olesen,42.79999796549479,6,9700,,,,,,,,,G
128272-171875,G,Marco,Marco Penge,Penge,48.41428484235491,7,9700,,,,,,,,,G
128272-78889,G,Nick,Nick Taylor,Taylor,69.5374984741211,8,9600,,,,,,,,,G
128272-79018,G,Will,Will Zalatoris,Zalatoris,59.3999989827474,3,9600,,,,,,,,,G
128272-151379,G,Ricky,Ricky Castillo,Castillo,84.1500015258789,8,9500,,,,O,Undisclosed,,,,G
128272-78817,G,Jordan L.,Jordan L. Smith,Smith,67.57499694824219,8,9500,,,,,,,,,G
128272-78187,G,Brian,Brian Harman,Harman,58.84285627092634,7,9400,,,,,,,,,G
128272-118173,G,Davis,Davis Thompson,Thompson,56.400001525878906,8,9400,,,,,,,,,G
128272-78268,G,Stephan,Stephan Jaeger,Jaeger,72.44999694824219,8,9300,,,,,,,,,G
128272-78078,G,Tony,Tony Finau,Finau,63.96666802300347,9,9300,,,,,,,,,G
128272-82217,G,Rico,Rico Hoey,Hoey,52.50999755859375,10,9200,,,,,,,,,G
128272-80560,G,Alex,Alex Smalley,Smalley,73.42222086588542,9,9200,,,,,,,,,G
128272-161547,G,Max,Max McGreevy,McGreevy,65.52000122070312,10,9100,,,,,,,,,G
128272-78739,G,Patrick,Patrick Rodgers,Rodgers,74.95999755859376,10,9100,,,,,,,,,G
128272-110898,G,Christiaan,Christiaan Bezuidenhout,Bezuidenhout,63.912498474121094,8,9000,,,,,,,,,G
128272-78228,G,Max,Max Homa,Homa,62.5,7,9000,,,,,,,,,G
128272-80362,G,Austin,Austin Smotherman,Smotherman,56.98749923706055,8,9000,,,,,,,,,G
128272-78355,G,Chris,Chris Kirk,Kirk,51.11249923706055,8,8900,,,,,,,,,G
128272-78689,G,J.T.,J.T. Poston,Poston,56.25714111328125,7,8900,,,,,,,,,G
128272-77925,G,Bud,Bud Cauley,Cauley,60.8125,8,8900,,,,,,,,,G
128272-78439,G,Hao-Tong,Hao-Tong Li,Li,55.474998474121094,8,8800,,,,,,,,,G
128272-78566,G,Taylor,Taylor Moore,Moore,59.98571341378348,7,8800,,,,,,,,,G
128272-84467,G,Kristoffer,Kristoffer Reitan,Reitan,48.471426827566965,7,8800,,,,,,,,,G
128272-82762,G,Zecheng,Zecheng Dou,Dou,64.10000271267361,9,8700,,,,,,,,,G
128272-137069,G,Tom,Tom Kim,Kim,67.75,8,8700,,,,,,,,,G
128272-170735,G,Adrien,Adrien Dumont De Chassart,Dumont De Chassart,70.0250015258789,8,8700,,,,,,,,,G
128272-82444,G,Doug,Doug Ghim,Ghim,56.41428484235491,7,8600,,,,,,,,,G
128272-78951,G,Matt,Matt Wallace,Wallace,49.883331298828125,6,8600,,,,,,,,,G
128272-82360,G,Andrew,Andrew Novak,Novak,59.13750076293945,8,8600,,,,,,,,,G
128272-170736,G,Matthew,Matthew McCarty,McCarty,61.45555284288194,9,8600,,,,,,,,,G
128272-78344,G,Michael,Michael Kim,Kim,58.650001525878906,8,8500,,,,,,,,,G
128272-151397,G,Mac,Mac Meissner,Meissner,57.349998474121094,8,8500,,,,,,,,,G
128272-101765,G,Lee,Lee Hodges,Hodges,61.300000871930806,7,8500,,,,,,,,,G
128272-79597,G,Chad,Chad Ramey,Ramey,65.82222493489583,9,8500,,,,,,,,,G
128272-107345,G,Austin,Austin Eckroat,Eckroat,53.86249923706055,8,8400,,,,,,,,,G
128272-171872,G,John,John Parry,Parry,72.9749984741211,8,8400,,,,,,,,,G
128272-78243,G,Mackenzie,Mackenzie Hughes,Hughes,58.662498474121094,8,8400,,,,,,,,,G
128272-170739,G,William,William Mouw,Mouw,56.84285627092634,7,8400,,,,,,,,,G
128272-78692,G,Seamus,Seamus Power,Power,60.95000076293945,8,8300,,,,,,,,,G
128272-151428,G,Eric,Eric Cole,Cole,53.67777845594618,9,8300,,,,,,,,,G
128272-78232,G,Billy,Billy Horschel,Horschel,54.833333333333336,9,8300,,,,,,,,,G
128272-77984,G,Joel,Joel Dahmen,Dahmen,56.528573172433035,7,8300,,,,,,,,,G
128272-166817,G,Jackson,Jackson Suber,Suber,47.45000203450521,6,8300,,,,,,,,,G
128272-79365,G,Beau,Beau Hossler,Hossler,52.48571341378348,7,8200,,,,,,,,,G
128272-189532,G,Daniel,Daniel Brown,Brown,51.385716029575896,7,8200,,,,,,,,,G
128272-84456,G,Kevin,Kevin Yu,Yu,41.400001525878906,8,8200,,,,,,,,,G
128272-200938,G,Steven,Steven Fisk,Fisk,49.224998474121094,8,8200,,,,,,,,,G
128272-180875,G,Chandler,Chandler Blanchet,Blanchet,44.1875,8,8100,,,,,,,,,G
128272-151448,G,Sami,Sami Valimaki,Valimaki,50.24285888671875,7,8100,,,,,,,,,G
128272-78751,G,Sam,Sam Ryder,Ryder,55.78333536783854,6,8100,,,,,,,,,G
128272-116974,G,Vince,Vince Whaley,Whaley,48.01111178927951,9,8100,,,,,,,,,G
128272-179537,G,Kevin,Kevin Roy,Roy,64.86250305175781,8,8000,,,,,,,,,G
128272-199057,G,Jesper,Jesper Svensson,Svensson,48.883331298828125,6,8000,,,,,,,,,G
128272-170675,G,A.J.,A.J. Ewart,Ewart,60.344441731770836,9,8000,,,,,,,,,G
128272-84729,G,Kris,Kris Ventura,Ventura,41.3999989827474,6,8000,,,,,,,,,G
128272-78382,G,Matt,Matt Kuchar,Kuchar,43.779998779296875,5,7900,,,,,,,,,G
128272-78154,G,Emiliano,Emiliano Grillo,Grillo,50.02222357855903,9,7900,,,,,,,,,G
128272-78698,G,Andrew,Andrew Putnam,Putnam,60.114283970424104,7,7900,,,,,,,,,G
128272-151445,G,Seonghyeon,Seonghyeon Kim,Kim,60.06666395399306,9,7900,,,,,,,,,G
128272-78337,G,Chan,Chan Kim,Kim,63.43333435058594,3,7800,,,,,,,,,G
128272-151390,G,Garrick,Garrick Higgo,Higgo,31.049999237060547,8,7800,,,,,,,,,G
128272-189542,G,David,David Ford,Ford,60.4375,8,7800,,,,,,,,,G
128272-172208,G,Adrien,Adrien Saddier,Saddier,48.5,8,7800,,,,,,,,,G
128272-78804,G,Webb,Webb Simpson,Simpson,44.599998474121094,4,7800,,,,,,,,,G
128272-78135,G,Lucas,Lucas Glover,Glover,34.63333384195963,6,7700,,,,,,,,,G
128272-78938,G,Jhonattan,Jhonattan Vegas,Vegas,49.971426827566965,7,7700,,,,,,,,,G
