Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
125510-78206,G,Russell,Russell Henley,Henley,73.78421181126645,19,12000,,,,,,,,,G
125510-101764,G,Ben,Ben Griffin,Griffin,71.23103279903017,29,11900,,,,,,,,,G
125510-78569,G,Collin,Collin Morikawa,Morikawa,70.52999877929688,20,11800,,,,,,,,,G
125510-78508,G,Hideki,Hideki Matsuyama,Matsuyama,70.85000101725261,24,11600,,,,,,,,,G
125510-78831,G,J.J.,J.J. Spaun,Spaun,70.08076829176683,26,11400,,,,,,,,,G
125510-110893,G,Robert,Robert MacIntyre,MacIntyre,69.37391198199728,23,11100,,,,,,,,,G
125510-77881,G,Keegan,Keegan Bradley,Bradley,69.59999778053977,22,10900,,,,,,,,,G
125510-78538,G,Maverick,Maverick McNealy,McNealy,63.17692213792067,26,10800,,,,,,,,,G
125510-78346,G,Si Woo,Si Woo Kim,Kim,63.46206980738147,29,10700,,,,,,,,,G
125510-119289,G,Harry,Harry Hall,Hall,78.22916666666667,24,10600,,,,,,,,,G
125510-78889,G,Nick,Nick Taylor,Taylor,61.665219514266305,23,10500,,,,,,,,,G
125510-77966,G,Corey,Corey Conners,Conners,68.7909102006392,22,10400,,,,,,,,,G
125510-78355,G,Chris,Chris Kirk,Kirk,60.41304347826087,23,10300,,,,,,,,,G
125510-78357,G,Kurt,Kurt Kitayama,Kitayama,67.56521739130434,23,10200,,,,,,,,,G
125510-78780,G,Adam,Adam Scott,Scott,59.616665310329864,18,10100,,,,,,,,,G
125510-78833,G,Jordan,Jordan Spieth,Spieth,62.93499755859375,20,10000,,,,,,,,,G
125510-165988,G,Chris,Chris Gotterup,Gotterup,63,27,9900,,,,,,,,,G
125510-78709,G,Aaron,Aaron Rai,Rai,63.81428455171131,21,9900,,,,,,,,,G
125510-78520,G,Denny,Denny McCarthy,McCarthy,64.60434888756794,23,9800,,,,,,,,,G
125510-78552,G,Keith,Keith Mitchell,Mitchell,70.10434888756794,23,9800,,,,,,,,,G
125510-82217,G,Rico,Rico Hoey,Hoey,69.70000168372844,29,9700,,,,,,,,,G
125510-78187,G,Brian,Brian Harman,Harman,61.8,25,9700,,,,,,,,,G
